id,TYPE,samenwerkingtype,naam,website,e-mailadres,telefoonnummer_TEMP,telefoonnummer,cbs,deelnemers,STATUS,sector,@self.organisation
1f41e9e0-ac4d-471d-850a-9c083103667d,Gemeente,,'s-Gravenhage,www.denhaag.nl,brenda.degraaf@denhaag.nl,0703532958,+31 7035 32958,518.0,,Actief,Gemeenten,1f41e9e0-ac4d-471d-850a-9c083103667d
8c3363d7-2269-49fd-ac71-5b4e9b809ed3,Gemeente,,'s-Hertogenbosch,www.s-hertogenbosch.nl,w.oostdam@s-hertogenbosch.nl,+31629047187,,796.0,,Actief,Gemeenten,8c3363d7-2269-49fd-ac71-5b4e9b809ed3
f7db0bc8-ec7a-4aa9-902e-51a23f7bce51,Gemeente,,Aa en Hunze,www.aaenhunze.nl,emuntinga@aaenhunze.nl,0592-267856,+31 592 267856,1680.0,,Actief,Gemeenten,f7db0bc8-ec7a-4aa9-902e-51a23f7bce51
e1863e39-a0d3-4384-b359-a3f0d98af2c8,Gemeente,,Aalsmeer,,l.de.regt@amstelveen.nl,020-5404596,+31 20 5404596,358.0,,Actief,Gemeenten,e1863e39-a0d3-4384-b359-a3f0d98af2c8
53873206-6267-4cc5-b24a-726e0e013ac3,Gemeente,,Aalten,https://www.aalten.nl,e.wennink@aalten.nl,0543 493 333,+31 543 493333,197.0,,Actief,Gemeenten,53873206-6267-4cc5-b24a-726e0e013ac3
4b441630-bc37-4337-9908-b3ffeaf5393a,Gemeente,,Achtkarspelen,www.achtkarspelen.nl,h.loupatty@achtkarspelen.nl,0511548700,+31 5115 48700,59.0,,Actief,Gemeenten,4b441630-bc37-4337-9908-b3ffeaf5393a
d4e731d8-263d-4b94-aeb0-cfaee2fdf18e,Gemeente,,Alblasserdam,,mlc.vanden.heuvel@drechtsteden.nl,06-40516070,,482.0,,Actief,Gemeenten,d4e731d8-263d-4b94-aeb0-cfaee2fdf18e
ea661217-960b-45af-9f80-758534be782c,Gemeente,,Albrandswaard,,p.v.d.heuvel@bar-organisatie.nl,,,613.0,,Actief,Gemeenten,ea661217-960b-45af-9f80-758534be782c
9e903d5f-9d6e-42f6-8c40-43ef3f1cd3d6,Gemeente,,Alkmaar,www.alkmaar.nl,rvrenken@alkmaar.nl,+31611139565,,361.0,,Actief,Gemeenten,9e903d5f-9d6e-42f6-8c40-43ef3f1cd3d6
d55fabda-c229-491d-a9f6-a339bb89f736,Gemeente,,Almelo,www.almelo.nl,g.ketelaar@almelo.nl,06 39113032,,141.0,,Actief,Gemeenten,d55fabda-c229-491d-a9f6-a339bb89f736
1f66615f-fa81-44f6-92e3-eadac6b11eca,Gemeente,,Almere,www.almere.nl,jmkoeckhoven@almere.nl,0611957472,,34.0,,Actief,Gemeenten,1f66615f-fa81-44f6-92e3-eadac6b11eca
